epoch,train_db_s3648_rmse,train_db_s3648_mae,train_db_s3648_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.5212102,1.0572878,0.19828485,1.4565676,1.0638752,0.4739392,1.5395597,1.1178149,0.36406317
2,1.2633973,0.8585081,0.49198958,1.4029348,1.0222074,0.54112875,1.4907656,1.062186,0.44308692
3,1.1905946,0.79402286,0.5694958,1.314421,0.9670175,0.5898797,1.4588339,1.0186325,0.46699458
4,1.1447008,0.7459841,0.6109837,1.3204243,0.9668658,0.59775573,1.4594322,1.0197965,0.4735739
5,1.0735482,0.69296664,0.6694029,1.3147185,0.95657843,0.6098505,1.439831,1.007629,0.4912334
6,1.0323406,0.6592387,0.6999839,1.3158802,0.9523895,0.59339046,1.4411722,1.003358,0.4925503
7,0.9971011,0.62681305,0.72413903,1.2961975,0.940759,0.6114443,1.4284877,0.99773127,0.50389147
8,0.9619268,0.59935987,0.746535,1.3068539,0.9563307,0.5900661,1.4288782,0.98966104,0.50341356
9,0.9185533,0.5608469,0.77243763,1.2982247,0.95328283,0.60661083,1.4124187,0.98445123,0.5212546
10,0.8829269,0.5483053,0.7926769,1.2393881,0.9116864,0.6352835,1.4183606,0.97956145,0.5092908
11,0.86455137,0.5262441,0.80220246,1.3256494,0.96038896,0.6076678,1.4051776,0.9730949,0.5279367
12,0.83507615,0.50576305,0.8169831,1.2764057,0.93936175,0.6143095,1.4288567,0.98808384,0.5082358
13,0.8100646,0.49209648,0.8290613,1.2708625,0.9391883,0.61971223,1.4168388,0.98529714,0.5181075
14,0.75921154,0.4663197,0.85182333,1.2997957,0.9590466,0.6030175,1.416579,0.994261,0.51990616
15,0.76078,0.45865297,0.85072976,1.2764739,0.94766825,0.62228143,1.4215072,0.9938664,0.51786476
