epoch,train_db_s155329_rmse,train_db_s155329_mae,train_db_s155329_corr,val_db_s1030_rmse,val_db_s1030_mae,val_db_s1030_corr,test_db_ssym_rmse,test_db_s669_rmse,test_db_s669_-4_2_rmse,test_db_ssym_mae,test_db_s669_mae,test_db_s669_-4_2_mae,test_db_ssym_corr,test_db_s669_corr,test_db_s669_-4_2_corr
1,0.69812673,0.49527374,0.76132107,1.8364838,1.2454723,0.4462316,1.3051984,1.4527462,1.1101092,0.9374301,1.0331364,0.84813565,0.64792454,0.5186564,0.5442247
2,0.5279622,0.37826127,0.8694302,1.8103492,1.2206435,0.46770242,1.2912527,1.4377403,1.1020027,0.91796285,1.0185428,0.8379318,0.6418507,0.5166649,0.5328189
3,0.4721638,0.33811623,0.8969405,1.8134546,1.2181613,0.46940985,1.291053,1.4235215,1.0891633,0.9158595,1.0015897,0.82375205,0.63941807,0.53372616,0.54993415
4,0.439434,0.31299707,0.9113584,1.7953142,1.2000351,0.47754443,1.2729496,1.4253745,1.0963789,0.9056898,1.0087754,0.832733,0.6359105,0.5223161,0.5335385
5,0.41708526,0.2954398,0.92050797,1.7950323,1.1957924,0.48247087,1.269627,1.423514,1.0964025,0.90136814,1.0093175,0.83386266,0.65207434,0.52756596,0.53660154
6,0.39719692,0.28138876,0.9281852,1.7968836,1.1992754,0.4767573,1.2828008,1.4138099,1.0835507,0.90599746,0.99483335,0.819979,0.6376539,0.529597,0.54146063
7,0.38289043,0.27032822,0.93343186,1.8055092,1.2039803,0.47262537,1.3160326,1.4250102,1.0951003,0.9356615,1.0137205,0.83823806,0.61789715,0.52752095,0.53574336
8,0.37057433,0.26144227,0.93780017,1.7960529,1.1961495,0.47911382,1.3052775,1.4233998,1.0916338,0.9186675,1.0109469,0.8336607,0.6165904,0.5239712,0.53634727
9,0.35998347,0.2529187,0.94140226,1.7871199,1.1885569,0.48559606,1.311809,1.4197363,1.0921521,0.9209552,1.0063262,0.83213663,0.6126746,0.52459854,0.53292155
10,0.3487322,0.24504653,0.9451104,1.788245,1.1909132,0.48648837,1.308131,1.425822,1.0942836,0.92813015,1.0108396,0.8344102,0.61323124,0.5185202,0.5302729
11,0.33919147,0.23816639,0.9481482,1.7951517,1.1970729,0.4822934,1.3265558,1.4332271,1.1058369,0.93860036,1.0236579,0.84734905,0.61167294,0.5161218,0.5199201
12,0.33026716,0.2315312,0.95090824,1.7981257,1.1955328,0.4790697,1.3202168,1.4307989,1.1046755,0.93048096,1.0208685,0.84525526,0.6115738,0.5183371,0.52126724
13,0.32342753,0.22692604,0.95296556,1.8071798,1.2096932,0.47263548,1.3459718,1.4339092,1.1048839,0.9473441,1.0224725,0.8459606,0.59619534,0.5183932,0.52728635
14,0.31562576,0.22164719,0.9552661,1.7981015,1.1993026,0.48189065,1.347136,1.4443103,1.1178148,0.9578802,1.0378356,0.86039084,0.591036,0.5103035,0.51291394
15,0.3095276,0.21717066,0.9570152,1.8013307,1.2020714,0.47604683,1.3327043,1.4319421,1.102316,0.940636,1.0182328,0.84062415,0.59750617,0.5142036,0.5231252
