epoch,train_tb_s1413_rmse,train_tb_s1413_mae,train_tb_s1413_corr,val_tb_ssym_rmse,val_tb_ssym_mae,val_tb_ssym_corr,test_tb_s669_rmse,test_tb_s669_mae,test_tb_s669_corr
1,1.9807284,1.4130654,0.16780843,1.7362196,1.2519199,0.35559028,1.74658,1.2847592,0.30091396
2,1.7509109,1.2110637,0.41471502,1.571813,1.1065665,0.40508923,1.5832226,1.1349419,0.36258635
3,1.5108789,1.014781,0.5583998,1.4990592,1.0555757,0.44022372,1.544719,1.1030301,0.39589816
4,1.3719394,0.8637154,0.65484166,1.4982023,1.0633322,0.45585406,1.530779,1.0908015,0.4148136
5,1.2643154,0.76147425,0.72597253,1.4893929,1.0599045,0.45380703,1.520326,1.0860238,0.42130053
6,1.1714997,0.7054317,0.7668456,1.4710053,1.0468631,0.46210605,1.517059,1.0864041,0.41852736
7,1.1246787,0.66552734,0.7847759,1.4657581,1.043947,0.46987048,1.5190351,1.0880475,0.41601458
8,1.0896949,0.63032097,0.8041537,1.464137,1.0403205,0.47403446,1.5159667,1.0831656,0.41749716
9,1.0241814,0.5926246,0.82990897,1.4470141,1.0295284,0.48350862,1.5087286,1.0779471,0.42266238
10,0.9837766,0.56319535,0.8417759,1.4586091,1.0413792,0.48527715,1.5162805,1.0816872,0.42182505
11,0.9305598,0.535569,0.861744,1.4457871,1.0272157,0.48687956,1.5144129,1.0819863,0.41838732
12,0.88098735,0.5034164,0.8774928,1.454568,1.0345193,0.48431656,1.5170835,1.0845138,0.41501832
13,0.8298607,0.47800073,0.89228725,1.4588552,1.0353006,0.48301372,1.5171024,1.082169,0.41483924
14,0.77481335,0.454395,0.90594286,1.4615338,1.0374533,0.47897154,1.5241634,1.0850658,0.40987912
15,0.7446264,0.4499773,0.91358584,1.4531964,1.0288962,0.48545966,1.5254451,1.0834018,0.4075349
16,0.70962447,0.42877305,0.92208123,1.4530025,1.0323595,0.48502794,1.5263643,1.0848187,0.40528026
17,0.68009496,0.42676514,0.92810464,1.4460233,1.0285559,0.4886925,1.5266697,1.0879092,0.40704292
18,0.6449225,0.39846677,0.9351615,1.4491435,1.0284851,0.49087688,1.5238408,1.0861232,0.408957
19,0.6536258,0.39567435,0.9338111,1.447763,1.0253736,0.49174038,1.5260946,1.086253,0.4049403
20,0.6301485,0.37586644,0.93937016,1.446003,1.0240661,0.49694473,1.521645,1.0795944,0.41149238
