epoch,rmse,mae,corr
1,1.9531702995300293,1.3899199962615967,0.162557914853096
2,1.7715040445327759,1.233587622642517,0.34873872995376587
3,1.6926071643829346,1.1496719121932983,0.4392926096916199
4,1.6663070917129517,1.1223571300506592,0.4709154963493347
5,1.6428552865982056,1.1013329029083252,0.49495139718055725
6,1.611329197883606,1.0740492343902588,0.520136296749115
7,1.6117750406265259,1.0770738124847412,0.5195454359054565
8,1.6054770946502686,1.0567909479141235,0.5252819657325745
9,1.6064568758010864,1.0583077669143677,0.5256121158599854
10,1.58897066116333,1.042639970779419,0.5403195023536682
11,1.5620609521865845,1.0253890752792358,0.5631213188171387
12,1.572239637374878,1.0306341648101807,0.5523724555969238
13,1.5537333488464355,1.0149319171905518,0.5673890709877014
14,1.5547384023666382,1.0097867250442505,0.5662983655929565
15,1.5567575693130493,1.0107014179229736,0.5758028030395508
16,1.5569415092468262,0.9952689409255981,0.5639631152153015
17,1.5523183345794678,1.0055540800094604,0.5689640045166016
18,1.53175950050354,0.9771552085876465,0.5846877694129944
19,1.5336377620697021,0.9892805218696594,0.5831807851791382
20,1.5055389404296875,0.9573662877082825,0.6037324070930481
