epoch,train_db_s1465_rmse,train_db_s1465_mae,train_db_s1465_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.8244518,1.2437556,0.284786,1.4775754,1.0953994,0.37721595,1.521409,1.0971947,0.38046476
2,1.6658821,1.082879,0.47403523,1.4379702,1.0690002,0.43455833,1.508587,1.0863825,0.4172028
3,1.6054653,1.0187635,0.52381206,1.4162588,1.0397199,0.47309002,1.4755605,1.0651855,0.45164236
4,1.5603772,0.966597,0.56495595,1.4114335,1.023573,0.4985971,1.4552722,1.0362368,0.4755735
5,1.5230148,0.9299697,0.6005259,1.3916059,1.0109687,0.5066498,1.4553924,1.0542448,0.47128347
6,1.4956563,0.9002393,0.61610806,1.3865566,1.0000962,0.52826995,1.4496008,1.0392207,0.48134443
7,1.4702932,0.8670194,0.63186884,1.392545,1.0039662,0.52561486,1.4459001,1.0323284,0.48442617
8,1.4395818,0.84274524,0.657059,1.3720523,1.0026815,0.5226487,1.4510121,1.0426583,0.4790205
9,1.4093591,0.8085765,0.6713262,1.3949133,1.008829,0.52624464,1.4637129,1.0426453,0.47781193
10,1.3878903,0.79022425,0.68740714,1.3759867,0.9952309,0.5275723,1.4510788,1.0300788,0.47745702
11,1.3586164,0.7581491,0.7075973,1.3815563,0.9990175,0.523462,1.4584676,1.0429131,0.47567162
12,1.3447609,0.7440461,0.71025246,1.3742777,0.9999175,0.5277617,1.4502666,1.0285519,0.4799787
13,1.3166188,0.71671546,0.7298077,1.3888279,1.004964,0.52772766,1.4628475,1.0354749,0.4735301
14,1.3026924,0.6907652,0.7338594,1.3764559,0.99252415,0.53000104,1.4609808,1.0365868,0.473755
15,1.2895362,0.67451745,0.7479522,1.3741747,1.0039314,0.523915,1.4724044,1.0488329,0.46864656
16,1.2541901,0.6540002,0.7568051,1.365691,0.9836653,0.54509306,1.4565146,1.0326643,0.47931573
17,1.2282364,0.63648504,0.77375066,1.3696878,1.0008944,0.5277202,1.4616597,1.0381719,0.47546732
18,1.2093966,0.61576,0.7792432,1.3580196,0.9890294,0.5462474,1.4606442,1.0387667,0.47670984
19,1.1982219,0.6007104,0.7848508,1.368164,1.0093302,0.5329181,1.4758521,1.0456625,0.46778175
20,1.1691732,0.58177906,0.7961054,1.3574659,0.9870693,0.5557334,1.4693078,1.0415843,0.4700152
