epoch,rmse,mae,corr
1,1.9694088697433472,1.4059292078018188,0.16860997676849365
2,1.7174808979034424,1.1777467727661133,0.4243815541267395
3,1.4917073249816895,0.998018741607666,0.5634996294975281
4,1.3587324619293213,0.8487369418144226,0.6664748787879944
5,1.2605197429656982,0.7767688632011414,0.7186009287834167
6,1.136525273323059,0.6925947666168213,0.7809783220291138
7,1.0459778308868408,0.6234592199325562,0.8192794322967529
8,0.9876201748847961,0.5807517766952515,0.8380492925643921
9,0.9372422099113464,0.5523248910903931,0.8568288683891296
10,0.8833553791046143,0.5234529376029968,0.8724104762077332
11,0.841313898563385,0.4954219460487366,0.8906751871109009
12,0.7479376792907715,0.448403537273407,0.9109773635864258
13,0.7133556008338928,0.4291841387748718,0.9195296168327332
14,0.7048856019973755,0.4326027035713196,0.9212855100631714
15,0.6636953353881836,0.4137342572212219,0.9299414753913879
16,0.6363797187805176,0.39464080333709717,0.936367392539978
17,0.5946204662322998,0.3854066729545593,0.9445569515228271
18,0.5892083644866943,0.3657535910606384,0.9457958340644836
19,0.5444473624229431,0.3494238257408142,0.9534115791320801
20,0.5902906060218811,0.3420964181423187,0.9464545845985413
