epoch,train_tb_s1413_rmse,train_tb_s1413_mae,train_tb_s1413_corr,val_tb_ssym_rmse,val_tb_ssym_mae,val_tb_ssym_corr,test_tb_s669_rmse,test_tb_s669_mae,test_tb_s669_corr
1,1.8736097,1.3296695,0.23309655,1.5670317,1.1121954,0.36907557,1.6091695,1.1692584,0.30022225
2,1.6529121,1.1620529,0.42027405,1.4917778,1.0559534,0.39806235,1.5662332,1.1328583,0.3406628
3,1.6247778,1.1386977,0.4462256,1.4858665,1.0539482,0.41826826,1.5502179,1.1112275,0.3628494
4,1.6181649,1.1051382,0.4577533,1.4869099,1.0621525,0.43520847,1.5542915,1.1128299,0.37260875
5,1.5850401,1.0711055,0.5114127,1.4696696,1.0502952,0.44855595,1.5483879,1.1079978,0.37865028
6,1.5570896,1.0573924,0.5205336,1.4605454,1.0423313,0.44630298,1.5443013,1.106005,0.3798178
7,1.5595318,1.0465034,0.5128757,1.4571475,1.0409418,0.448648,1.5493414,1.1110972,0.37447956
8,1.5372767,1.041451,0.5346137,1.4486518,1.0351387,0.45607826,1.5472138,1.1101422,0.37521586
9,1.5087453,1.0294738,0.5590165,1.4441246,1.0294387,0.46315828,1.5464109,1.108118,0.3770424
10,1.5118705,1.0088774,0.55804116,1.4578512,1.0391775,0.45498937,1.545901,1.1056724,0.38023537
11,1.4988264,1.0178478,0.56671077,1.4613633,1.0411851,0.44552946,1.5463054,1.105815,0.37761933
12,1.5274917,1.0217004,0.5423923,1.4653699,1.0435122,0.4396367,1.5465783,1.1078032,0.373246
13,1.5012265,1.0119613,0.56311584,1.4608963,1.0441674,0.4464249,1.5482515,1.1087782,0.37350696
14,1.4814082,0.99029976,0.5807593,1.448014,1.0381328,0.46009701,1.5495751,1.1081764,0.37552562
