epoch,rmse,mae,corr
1,1.8736096620559692,1.32966947555542,0.23309655487537384
2,1.6529121398925781,1.162052869796753,0.4202740490436554
3,1.6247777938842773,1.1386977434158325,0.4462256133556366
4,1.6181648969650269,1.1051381826400757,0.4577533006668091
5,1.5850400924682617,1.0711054801940918,0.5114126801490784
6,1.5570895671844482,1.0573923587799072,0.5205336213111877
7,1.559531807899475,1.0465034246444702,0.5128756761550903
8,1.5372767448425293,1.0414509773254395,0.5346137285232544
9,1.5087453126907349,1.0294737815856934,0.5590165257453918
10,1.5118705034255981,1.0088773965835571,0.5580411553382874
11,1.4988263845443726,1.0178477764129639,0.5667107701301575
12,1.5274916887283325,1.021700382232666,0.5423923134803772
13,1.501226544380188,1.0119613409042358,0.5631158351898193
14,1.4814082384109497,0.9902997612953186,0.5807592868804932
