epoch,train_db_s1413_rmse,train_db_s1413_mae,train_db_s1413_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,2.020669,1.4101257,0.21455085,1.6665691,1.22659,0.5047952,1.6727164,1.2325555,0.29311416
2,1.7410573,1.1693941,0.45735472,1.5240622,1.1028534,0.5601717,1.6020966,1.1843506,0.36857533
3,1.6007148,1.0313395,0.55398196,1.4980851,1.099759,0.55691934,1.5441375,1.1152394,0.40376005
4,1.4692533,0.9259496,0.6343325,1.4757504,1.076663,0.5666469,1.5526581,1.1315998,0.3806043
5,1.406889,0.8451417,0.6783581,1.4268923,1.0352967,0.56842345,1.5870212,1.1416746,0.37914765
6,1.4011575,0.7978565,0.6818363,1.4707999,1.0685763,0.55874157,1.5855104,1.1515152,0.37432426
7,1.2502917,0.71290785,0.75400096,1.4741527,1.0726511,0.5351653,1.6018308,1.1321348,0.37145624
8,1.1143862,0.62351835,0.80595803,1.4842823,1.0864195,0.5237829,1.5238132,1.115456,0.42133284
9,1.1168873,0.599635,0.80614114,1.4296632,1.048067,0.5563303,1.5532079,1.1372285,0.40841475
10,1.1745695,0.62216103,0.7836524,1.4326172,1.0440893,0.5429191,1.5467333,1.1221417,0.3994573
