epoch,train_db_s1465_rmse,train_db_s1465_mae,train_db_s1465_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,2.0419614,1.4680476,0.11423249,1.7023976,1.2336192,0.29504898,1.6779417,1.2472813,0.29092538
2,1.8284227,1.2623657,0.31866416,1.5171269,1.0977082,0.4207089,1.5515316,1.1297935,0.3541846
3,1.6880296,1.148855,0.45057982,1.4621437,1.0666543,0.45398214,1.5228392,1.1037289,0.39096195
4,1.6181124,1.0920615,0.51561254,1.4503329,1.0571337,0.4774463,1.5084331,1.0806178,0.41422588
5,1.5672393,1.0371271,0.5606246,1.4116184,1.030201,0.5140214,1.4970589,1.0658334,0.43118164
6,1.5151721,0.9843144,0.5961586,1.3898811,1.0133489,0.53478485,1.4836032,1.0542822,0.44468164
7,1.4705526,0.9546429,0.63168913,1.3750349,0.99894506,0.54602873,1.4694848,1.0430961,0.4586762
8,1.4451231,0.92706716,0.6454249,1.3413583,0.97570086,0.5743781,1.4701445,1.0358434,0.46256936
9,1.423895,0.8969757,0.65840334,1.3465345,0.9757708,0.57874376,1.4673824,1.0309865,0.46367323
10,1.3570045,0.85219187,0.700656,1.3123688,0.9575141,0.6027723,1.460803,1.0233516,0.47211456
11,1.3165938,0.82179576,0.7217475,1.3095338,0.9563754,0.61945766,1.4593716,1.0217755,0.47610176
12,1.2959527,0.8176799,0.7309509,1.2915276,0.95184535,0.61671436,1.4630105,1.0199318,0.4758383
13,1.2443116,0.782111,0.75655985,1.2956463,0.95294833,0.60877883,1.4688488,1.0272561,0.47153503
14,1.2466913,0.7593672,0.75518185,1.2948674,0.94983727,0.615755,1.4564862,1.0159355,0.47981134
15,1.2211326,0.7541231,0.77298,1.2788291,0.9440109,0.6180404,1.4691601,1.029537,0.47787383
16,1.1971222,0.7313489,0.7759837,1.3141955,0.96904,0.59890974,1.4698815,1.0321378,0.47548667
17,1.1715337,0.72225183,0.7869774,1.315545,0.9700101,0.6020737,1.458406,1.0251371,0.48244682
18,1.1433175,0.6891634,0.7976352,1.2958232,0.9583799,0.6080721,1.4550401,1.019392,0.4879097
19,1.1229997,0.68567896,0.80819255,1.2963952,0.9585032,0.60338646,1.4570771,1.0171307,0.48495698
20,1.1137536,0.6709768,0.81172705,1.3074771,0.9611191,0.6121874,1.4370377,1.0054682,0.50111943
