epoch,train_db_s1413_s_rmse,train_db_s1413_s_mae,train_db_s1413_s_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.7705328,1.2198431,0.5422292,1.3782169,1.0194545,0.5772311,1.4608592,1.0336972,0.47950697
2,1.4514347,0.94384325,0.7255585,1.3247234,0.96671087,0.615028,1.4343469,1.0103822,0.49868384
3,1.2553931,0.79627025,0.80332255,1.3564988,0.9867544,0.6026765,1.4481052,1.0103314,0.4911019
4,1.0792089,0.6805608,0.85704094,1.299277,0.9404319,0.62057215,1.4731748,1.0347569,0.48815316
5,0.97491586,0.60483074,0.8847421,1.2750262,0.943578,0.6226871,1.4964147,1.0383229,0.48431408
6,0.8900432,0.5453691,0.9064196,1.2839625,0.9475824,0.6393447,1.4531736,1.0201365,0.49396923
7,0.80619746,0.49667883,0.9233341,1.2826457,0.95170283,0.6469212,1.4629849,1.0092396,0.4927567
8,0.7505233,0.46619388,0.93413466,1.3012073,0.9721081,0.6176539,1.4489436,1.0158997,0.48880136
9,0.72857493,0.44732583,0.938372,1.3028077,0.9693119,0.62151855,1.466108,1.0291233,0.4861159
10,0.6351748,0.3980442,0.95364064,1.3037649,0.96521133,0.6309013,1.469823,1.014505,0.47890598
