epoch,rmse,mae,corr
1,1.7732317447662354,1.2083215713500977,0.3638817369937897
2,1.5560526847839355,0.9888488054275513,0.5749189853668213
3,1.373671054840088,0.8472184538841248,0.6898645758628845
4,1.165295958518982,0.7300139665603638,0.7872940897941589
5,1.0535374879837036,0.6562675833702087,0.8314538598060608
6,0.8953408002853394,0.5645869374275208,0.8837422728538513
7,0.8549357652664185,0.5447394251823425,0.8922577500343323
8,0.7654834389686584,0.4754558205604553,0.9141473174095154
9,0.7787393927574158,0.46944913268089294,0.9115840792655945
10,0.7047878503799438,0.4118712842464447,0.9282116293907166
11,0.6841963529586792,0.3867838382720947,0.9317586421966553
12,0.6330185532569885,0.37992265820503235,0.9428367614746094
13,0.4882567822933197,0.3105066418647766,0.9662370085716248
