epoch,rmse,mae,corr
1,1.4534282684326172,1.0016891956329346,0.24362832307815552
2,1.2796353101730347,0.874122679233551,0.46824055910110474
3,1.2427600622177124,0.8432717323303223,0.5115344524383545
4,1.2206971645355225,0.8185428380966187,0.5358205437660217
5,1.2055026292800903,0.8023875951766968,0.5516602396965027
6,1.202180027961731,0.7992252111434937,0.5553463101387024
7,1.1982980966567993,0.7949304580688477,0.5592056512832642
8,1.1885807514190674,0.7844601273536682,0.5693649053573608
9,1.1766465902328491,0.7687558531761169,0.5807911157608032
10,1.1764354705810547,0.7693374156951904,0.5816907286643982
11,1.176374912261963,0.7656986117362976,0.5814335942268372
12,1.1562961339950562,0.7583212852478027,0.6001166105270386
13,1.1693787574768066,0.7625765800476074,0.589141309261322
14,1.1445883512496948,0.7471548914909363,0.6115427613258362
15,1.1549080610275269,0.7495498657226562,0.6016284823417664
16,1.1558195352554321,0.7514342069625854,0.6003513932228088
17,1.1410415172576904,0.7415242791175842,0.6137418150901794
18,1.1466710567474365,0.737272322177887,0.6101332902908325
19,1.1371017694473267,0.7355403304100037,0.6177492141723633
20,1.1268059015274048,0.7280070781707764,0.6276687383651733
