epoch,train_db_s3648_rmse,train_db_s3648_mae,train_db_s3648_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.4534283,1.0016892,0.24362832,1.3767086,1.0024328,0.5204319,1.5126008,1.0933669,0.3906942
2,1.2796353,0.8741227,0.46824056,1.3424504,0.98318434,0.5744705,1.4799008,1.0559999,0.44793057
3,1.2427601,0.84327173,0.51153445,1.2896144,0.94572705,0.6144965,1.4481764,1.0302373,0.47196367
4,1.2206972,0.81854284,0.53582054,1.2827232,0.937141,0.6233247,1.442859,1.0234045,0.48127034
5,1.2055026,0.8023876,0.55166024,1.266037,0.92540747,0.63717395,1.4374857,1.0160156,0.48879653
6,1.20218,0.7992252,0.5553463,1.2580693,0.91751385,0.6545477,1.4304886,1.005755,0.49926794
7,1.1982981,0.79493046,0.55920565,1.2587559,0.92234737,0.64437544,1.4272996,1.0021554,0.5007838
8,1.1885808,0.7844601,0.5693649,1.2559375,0.91755533,0.64589715,1.421749,0.9995787,0.50396407
9,1.1766466,0.76875585,0.5807911,1.2419184,0.90449685,0.666196,1.4230367,0.9990434,0.50576866
10,1.1764355,0.7693374,0.5816907,1.2462044,0.90910465,0.6589153,1.4286157,1.0028335,0.5003203
11,1.1763749,0.7656986,0.5814336,1.2293206,0.8983958,0.66928166,1.426996,0.99851984,0.49866346
12,1.1562961,0.7583213,0.6001166,1.2297683,0.90020674,0.6739281,1.4311603,1.0049005,0.49807453
13,1.1693788,0.7625766,0.5891413,1.2265383,0.8982401,0.6698562,1.4299816,1.0055629,0.4990509
14,1.1445884,0.7471549,0.61154276,1.2302135,0.90121984,0.6748402,1.4219304,0.9957914,0.50703263
15,1.1549081,0.74954987,0.6016285,1.2251139,0.89224076,0.68355954,1.4219497,0.9989958,0.5081985
16,1.1558195,0.7514342,0.6003514,1.2204492,0.8924641,0.6779767,1.4209402,0.9966864,0.50973386
17,1.1410415,0.7415243,0.6137418,1.2228999,0.8910158,0.6708372,1.4235655,0.99910235,0.5043642
18,1.146671,0.7372723,0.6101333,1.2248825,0.89925605,0.6770162,1.4233158,0.99836993,0.50755817
19,1.1371018,0.73554033,0.6177492,1.2267939,0.8953157,0.6762675,1.4286157,1.0026672,0.5026435
20,1.1268059,0.7280071,0.62766874,1.2330104,0.9018232,0.67332953,1.427858,1.0056212,0.5064494
