epoch,rmse,mae,corr
1,1.041975498199463,0.7271089553833008,0.4323641061782837
2,0.8653624057769775,0.6130508780479431,0.6077238917350769
3,0.8292627930641174,0.5850041508674622,0.6419475674629211
4,0.8123394846916199,0.5714467763900757,0.659224808216095
5,0.8006585836410522,0.5622336268424988,0.6702607870101929
6,0.7917163968086243,0.5549954175949097,0.6789146661758423
7,0.7837368249893188,0.5490326881408691,0.6860840320587158
8,0.7778743505477905,0.5444555282592773,0.6919094920158386
9,0.7721858620643616,0.5401082634925842,0.6968169212341309
10,0.7675530910491943,0.536558985710144,0.7012106776237488
11,0.7632583379745483,0.5331999063491821,0.7050417065620422
12,0.7589228749275208,0.5296008586883545,0.7088669538497925
13,0.7556390762329102,0.5271215438842773,0.711563229560852
14,0.7516627311706543,0.5240761637687683,0.7152475714683533
15,0.7480166554450989,0.5213276743888855,0.7184281349182129
16,0.745735764503479,0.5192418694496155,0.7203980088233948
17,0.7426002025604248,0.5169470310211182,0.7231467962265015
18,0.7399643659591675,0.5145297646522522,0.7254312038421631
19,0.7368777990341187,0.5121634006500244,0.7280616760253906
20,0.7344892621040344,0.5104126930236816,0.7300084233283997
