epoch,train_db_s1413_rmse,train_db_s1413_mae,train_db_s1413_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,2.02152,1.4338952,0.14765742,1.5461745,1.1082815,0.39801985,1.5668066,1.1428354,0.33822456
2,1.6856718,1.1591471,0.45308176,1.4307421,1.0416278,0.48381636,1.50446,1.0933616,0.4124559
3,1.5973089,1.0586333,0.55003315,1.4129812,1.0272597,0.51746595,1.473416,1.0529424,0.4519783
4,1.5067286,0.97993976,0.6063037,1.3523204,1.0060375,0.55123943,1.4867467,1.0693007,0.45742685
5,1.460157,0.9445213,0.6447105,1.3641629,1.0002975,0.5653594,1.4686214,1.0358113,0.46259013
6,1.4142085,0.89846146,0.6779211,1.2951711,0.9570136,0.5987276,1.4908862,1.0596364,0.46519208
7,1.3454876,0.8259373,0.7065413,1.324031,0.9720597,0.60208493,1.436787,1.0110065,0.49060714
8,1.290725,0.79755443,0.73170507,1.2959783,0.9589353,0.6048142,1.4520805,1.0247172,0.4821621
9,1.2363627,0.7595158,0.75678,1.2963331,0.96034,0.6128109,1.4464012,1.0097457,0.48860845
10,1.1659291,0.71178776,0.78795046,1.2836696,0.9445427,0.6177685,1.4598714,1.0161201,0.48640826
11,1.1432697,0.69525206,0.80311793,1.2933793,0.94820076,0.6136469,1.4492437,1.0105917,0.49104804
12,1.1244701,0.6751713,0.81273305,1.2988046,0.9560213,0.6280761,1.4441649,1.0098993,0.4899907
13,1.0708947,0.6497652,0.82577735,1.2460121,0.92466384,0.64010364,1.4764372,1.0350795,0.48766237
14,1.0303566,0.6249956,0.84170675,1.2449176,0.91958314,0.652163,1.4539168,1.0182724,0.49591133
15,0.98122406,0.59808695,0.85618854,1.2942384,0.95363164,0.63791233,1.4395387,1.015684,0.49196592
16,1.0110245,0.61456805,0.8515568,1.2487713,0.94074947,0.6368532,1.4973947,1.0611609,0.48606566
17,0.94949645,0.5771329,0.86630946,1.2762971,0.94930047,0.6313985,1.4375631,0.9966087,0.49624458
18,0.928968,0.5520428,0.8731647,1.2896996,0.96691036,0.62285674,1.457978,1.0113872,0.48618776
19,0.8847424,0.5381296,0.8860869,1.3161024,0.9800859,0.6170891,1.4490662,1.0092736,0.4862314
