epoch,rmse,mae,corr
1,2.041961431503296,1.4680476188659668,0.11423248797655106
2,1.8284226655960083,1.262365698814392,0.31866416335105896
3,1.6880296468734741,1.1488549709320068,0.45057982206344604
4,1.6181124448776245,1.0920615196228027,0.5156125426292419
5,1.5672392845153809,1.037127137184143,0.5606245994567871
6,1.5151721239089966,0.9843143820762634,0.5961586236953735
7,1.4705525636672974,0.9546428918838501,0.6316891312599182
8,1.4451230764389038,0.9270671606063843,0.6454249024391174
9,1.423895001411438,0.8969756960868835,0.6584033370018005
10,1.3570045232772827,0.8521918654441833,0.700655996799469
11,1.3165937662124634,0.8217957615852356,0.7217475175857544
12,1.2959526777267456,0.8176798820495605,0.7309508919715881
13,1.2443115711212158,0.7821109890937805,0.7565598487854004
14,1.246691346168518,0.7593672275543213,0.7551818490028381
15,1.2211326360702515,0.7541230916976929,0.7729799747467041
16,1.1971222162246704,0.7313488721847534,0.7759836912155151
17,1.1715337038040161,0.722251832485199,0.7869774103164673
18,1.143317461013794,0.6891633868217468,0.7976351976394653
19,1.122999668121338,0.6856789588928223,0.8081925511360168
20,1.1137535572052002,0.6709768176078796,0.8117270469665527
