epoch,rmse,mae,corr
1,1.8821603059768677,1.276811957359314,0.28402915596961975
2,1.540252447128296,0.9840950965881348,0.5932468175888062
3,1.3064273595809937,0.8062223196029663,0.7331848740577698
4,1.0904290676116943,0.66280198097229,0.8217746615409851
5,0.9338294863700867,0.5724966526031494,0.8762345910072327
6,0.8192667961120605,0.5174839496612549,0.9038175940513611
7,0.7737604379653931,0.473420113325119,0.912879228591919
8,0.6355419158935547,0.40353742241859436,0.9414428472518921
9,0.6929230690002441,0.4117240905761719,0.9297937750816345
10,0.6338420510292053,0.36315295100212097,0.9430099725723267
11,0.5322303175926208,0.3197850286960602,0.960273802280426
12,0.4996538758277893,0.30459871888160706,0.9653425812721252
13,0.4818092882633209,0.2894434630870819,0.9666058421134949
14,0.46820348501205444,0.2920001149177551,0.9691494107246399
15,0.4337509870529175,0.2691384255886078,0.9734344482421875
16,0.43768537044525146,0.2595702111721039,0.9735304117202759
17,0.42932194471359253,0.25678277015686035,0.97389817237854
18,0.42089003324508667,0.2542848587036133,0.9751365780830383
19,0.41613519191741943,0.25429803133010864,0.9759100675582886
20,0.39625003933906555,0.23196332156658173,0.9775069952011108
