epoch,train_db_s1413_rmse,train_db_s1413_mae,train_db_s1413_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.8403311,1.2494658,0.31795356,1.4108683,1.0450705,0.4894431,1.5299547,1.1106339,0.39467496
2,1.4292322,0.93072253,0.6632614,1.3439113,0.9919784,0.5507354,1.4822475,1.0555791,0.44618565
3,1.2623316,0.8132371,0.7566008,1.3559461,1.0159181,0.543098,1.502635,1.0660464,0.4245496
4,1.1140481,0.7043607,0.81049806,1.3530071,0.97820324,0.5365071,1.4595661,1.0336006,0.465549
5,1.0539925,0.63627344,0.8395846,1.3715171,0.9979503,0.51983595,1.4612805,1.0420254,0.46060824
6,0.90344816,0.542955,0.883823,1.360965,0.98775214,0.5352343,1.5005558,1.0854264,0.43306834
7,0.79119885,0.48163658,0.9097017,1.3784214,1.0070537,0.5325709,1.480697,1.0668912,0.4459795
8,0.76162076,0.44270778,0.9147894,1.4092244,1.0337374,0.4899364,1.5180664,1.1060596,0.4278084
9,0.7732041,0.43905747,0.9119501,1.4723847,1.0801619,0.43027738,1.5150028,1.1079255,0.42259267
