epoch,train_db_s157479_rmse,train_db_s157479_mae,train_db_s157479_corr,val_db_s1082_rmse,val_db_s1082_mae,val_db_s1082_corr,test_db_s669_rmse,test_db_ssym_rmse,test_db_s669_mae,test_db_ssym_mae,test_db_s669_corr,test_db_ssym_corr
1,0.70119005,0.4978337,0.7596704,1.8509636,1.2496225,0.43730494,1.4703822,1.363015,1.0493112,0.9711774,0.5127779,0.60952264
2,0.5296138,0.3795932,0.86897796,1.8169358,1.2053487,0.45487785,1.4389651,1.3061862,1.015216,0.9193737,0.52234787,0.6119048
3,0.47566843,0.33971417,0.8956328,1.8031563,1.1946217,0.46770114,1.4287997,1.3003547,1.0047272,0.9059536,0.52529657,0.6177324
4,0.44108495,0.31452104,0.9109263,1.798056,1.1938261,0.47067073,1.4134386,1.2835908,0.9876995,0.8974641,0.5308982,0.632222
5,0.41704732,0.296277,0.9207665,1.7822351,1.1799735,0.49148628,1.4194137,1.3098412,0.99683815,0.9149005,0.52899146,0.62340117
6,0.39953765,0.28268608,0.9275286,1.7772626,1.1650186,0.48621565,1.4017569,1.287797,0.97630495,0.8951475,0.53629297,0.619841
7,0.38302696,0.270673,0.93359226,1.7840364,1.17831,0.4847399,1.4165028,1.3280048,0.9966267,0.9259108,0.52762824,0.60378164
8,0.37189323,0.26186174,0.93751144,1.7877278,1.1755804,0.47946727,1.4196267,1.3025566,0.99857193,0.91016024,0.5226351,0.62243146
9,0.35841087,0.25243685,0.9421028,1.7957139,1.1828916,0.4730805,1.4329063,1.3233665,1.0151098,0.9258862,0.5122902,0.6009342
10,0.3495081,0.24599336,0.9450252,1.7888173,1.1791687,0.4825384,1.4378011,1.3261793,1.0164682,0.9247239,0.5069459,0.604421
11,0.3404608,0.23924065,0.94790334,1.7966642,1.1792315,0.47186717,1.4249383,1.3374116,1.0123311,0.9288866,0.5198635,0.59311855
