epoch,train_db_s1413_rmse,train_db_s1413_mae,train_db_s1413_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,2.0475118,1.4649009,0.18599215,1.4988848,1.0707226,0.45032108,1.5499591,1.1427878,0.3574477
2,1.6870066,1.1707953,0.44976258,1.418771,1.0246334,0.5098133,1.5213863,1.1125991,0.39424455
3,1.588241,1.0608777,0.555632,1.3908995,1.0172151,0.537428,1.4940295,1.0725944,0.43545297
4,1.5181634,1.0064902,0.5961413,1.3510505,0.9965117,0.56851053,1.4797223,1.0507611,0.45383847
5,1.4667856,0.95408314,0.63828677,1.3365715,0.97795373,0.5903605,1.4686586,1.0375377,0.45930037
6,1.4249433,0.9176793,0.67058784,1.3165754,0.9581437,0.6080275,1.4619653,1.0321094,0.46524245
7,1.3403451,0.8642374,0.70833683,1.3160152,0.95936996,0.61062086,1.4644728,1.0363789,0.46425745
8,1.2925531,0.80453724,0.7303095,1.3324338,0.96898174,0.61138695,1.4555225,1.0267962,0.47231996
9,1.2345377,0.7824983,0.7581181,1.2791297,0.9466315,0.6388576,1.4773211,1.0415875,0.45877576
10,1.1653376,0.7408756,0.78867704,1.2630816,0.9334596,0.6491593,1.4929159,1.0549241,0.45160833
11,1.1498706,0.7358843,0.7988333,1.2691287,0.9279147,0.6432049,1.4942954,1.0535439,0.46033227
12,1.1121598,0.6938835,0.81628764,1.2703496,0.9276984,0.6343847,1.4909312,1.0439587,0.46781275
13,1.033214,0.6618381,0.8365246,1.2739369,0.94061965,0.6278653,1.5086445,1.0543544,0.46261656
14,1.0054404,0.6245468,0.8481651,1.2991449,0.9527902,0.6247085,1.4784112,1.0343045,0.4643995
15,0.96395767,0.6044294,0.86046165,1.2894053,0.94678086,0.62829113,1.4956801,1.0472893,0.4599677
16,0.974046,0.5868689,0.8614176,1.2773044,0.9458881,0.631694,1.4944172,1.0426633,0.46729383
17,0.9437658,0.59332496,0.8678973,1.3086917,0.97595423,0.6348019,1.460532,1.0179309,0.47762445
