epoch,rmse,mae,corr
1,2.0475118160247803,1.4649008512496948,0.18599215149879456
2,1.6870065927505493,1.1707953214645386,0.44976258277893066
3,1.5882409811019897,1.0608776807785034,0.5556319952011108
4,1.5181634426116943,1.0064902305603027,0.5961412787437439
5,1.4667855501174927,0.9540831446647644,0.6382867693901062
6,1.4249433279037476,0.9176793098449707,0.6705878376960754
7,1.3403451442718506,0.8642374277114868,0.7083368301391602
8,1.2925530672073364,0.8045372366905212,0.7303094863891602
9,1.2345377206802368,0.782498300075531,0.7581180930137634
10,1.1653375625610352,0.7408756017684937,0.7886770367622375
11,1.1498706340789795,0.7358843088150024,0.7988333106040955
12,1.1121598482131958,0.69388347864151,0.816287636756897
13,1.0332139730453491,0.6618381142616272,0.8365246057510376
14,1.005440354347229,0.6245468258857727,0.8481650948524475
15,0.963957667350769,0.6044294238090515,0.8604616522789001
16,0.974045991897583,0.5868688821792603,0.8614175915718079
17,0.9437658190727234,0.5933249592781067,0.8678972721099854
