epoch,train_db_s1465_r_rmse,train_db_s1465_r_mae,train_db_s1465_r_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.8825485,1.3179808,0.2408344,1.6174971,1.1790189,0.45682198,1.5914959,1.1683651,0.42888314
2,1.5754888,1.04193,0.5521665,1.5979083,1.1770968,0.5008074,1.565167,1.1425661,0.46056104
3,1.4852204,0.9609745,0.61644435,1.5634356,1.1529864,0.51819986,1.5390928,1.1260072,0.47603413
4,1.3853221,0.8660003,0.6821734,1.4968226,1.0954638,0.5500521,1.5103974,1.0953633,0.47645807
5,1.2747034,0.8006301,0.7415575,1.5347096,1.1245455,0.5577545,1.5129044,1.1030765,0.48583898
6,1.1945467,0.73626894,0.7760649,1.5601557,1.1437436,0.5604967,1.5310909,1.115134,0.4824881
7,1.1369289,0.6876647,0.80174226,1.5628177,1.1450766,0.5476642,1.5480204,1.1308051,0.4845294
8,1.0638609,0.6486377,0.8270995,1.5350308,1.1139761,0.54667526,1.5330896,1.1193267,0.46250722
9,1.0034231,0.61612546,0.8507644,1.5042484,1.0870589,0.56249887,1.5054004,1.0828818,0.47623184
10,0.94787514,0.56619173,0.8657686,1.4564505,1.0521688,0.57196325,1.5020127,1.0770092,0.4563826
11,0.8965508,0.5431464,0.8806482,1.440383,1.029971,0.58870167,1.484152,1.0586985,0.47025347
12,0.82481885,0.50252604,0.8998766,1.4530922,1.0448326,0.58491296,1.4838506,1.0619676,0.4803909
13,0.79675204,0.48832732,0.90616727,1.4827507,1.074015,0.5647614,1.4969436,1.0799743,0.47937983
14,0.7962443,0.4863487,0.90721303,1.4813788,1.0781842,0.54572344,1.4893599,1.0683777,0.46304405
15,0.7809608,0.4628036,0.91243935,1.4928343,1.0757921,0.5558727,1.4892439,1.0683463,0.4837968
16,0.7223961,0.44017145,0.9243312,1.5036861,1.0875672,0.56234586,1.5004781,1.0832802,0.4813132
