epoch,rmse,mae,corr
1,1.882548451423645,1.3179807662963867,0.24083440005779266
2,1.575488805770874,1.0419299602508545,0.5521665215492249
3,1.4852204322814941,0.9609745144844055,0.6164443492889404
4,1.385322093963623,0.8660002946853638,0.6821733713150024
5,1.2747033834457397,0.8006300926208496,0.7415574789047241
6,1.1945466995239258,0.736268937587738,0.7760648727416992
7,1.136928915977478,0.6876646876335144,0.8017422556877136
8,1.0638608932495117,0.6486377120018005,0.8270995020866394
9,1.0034230947494507,0.6161254644393921,0.8507643938064575
10,0.9478751420974731,0.5661917328834534,0.8657686114311218
11,0.8965507745742798,0.5431463718414307,0.8806481957435608
12,0.8248188495635986,0.502526044845581,0.899876594543457
13,0.7967520356178284,0.4883273243904114,0.9061672687530518
14,0.7962443232536316,0.4863486886024475,0.907213032245636
15,0.7809607982635498,0.46280360221862793,0.9124393463134766
16,0.7223960757255554,0.4401714503765106,0.9243311882019043
