epoch,train_db_s1413_rmse,train_db_s1413_mae,train_db_s1413_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.883935,1.2913326,0.2375613,1.4779406,1.0997206,0.37633204,1.5350207,1.1178554,0.36684185
2,1.6547117,1.0893383,0.48270163,1.457294,1.0856768,0.41087905,1.524847,1.1007278,0.39931715
3,1.632179,1.0388162,0.5164605,1.4235243,1.049764,0.45844728,1.4870952,1.0790069,0.4395485
4,1.5660273,0.97788537,0.56469613,1.4155408,1.0334194,0.48511437,1.4678806,1.0483339,0.46079484
5,1.5521932,0.9378809,0.5859325,1.3934705,1.0191729,0.49746534,1.4589131,1.0525247,0.4672903
6,1.5241029,0.9096313,0.61056864,1.3987502,1.0168234,0.50461054,1.4638771,1.050017,0.4657006
7,1.4673789,0.8644993,0.6401493,1.3826375,1.0038209,0.5158954,1.4577978,1.0460029,0.47304487
8,1.4424574,0.83832085,0.65020204,1.3871835,1.0027285,0.5175516,1.461992,1.0482908,0.47009447
9,1.4060479,0.8082227,0.6751693,1.3882754,1.0064663,0.5098116,1.4655877,1.0485762,0.46568415
10,1.3836437,0.7859669,0.6875404,1.3870088,1.0071273,0.5136395,1.4646184,1.0456033,0.46891704
11,1.3751338,0.76278365,0.7028368,1.3830131,1.0110246,0.512979,1.4562721,1.0424126,0.47673544
12,1.3728585,0.757282,0.70811677,1.3810015,1.0091475,0.5116969,1.4695385,1.0552032,0.4673493
13,1.3121027,0.7142067,0.7292517,1.3884535,1.013556,0.50356066,1.4685469,1.0489312,0.46606603
14,1.2916778,0.6901459,0.74350464,1.3932505,1.0023993,0.522684,1.4586581,1.035637,0.48002186
15,1.2638547,0.6691295,0.75203544,1.3871099,1.0118918,0.5162468,1.4843299,1.055005,0.4597229
16,1.2789726,0.66400355,0.75422233,1.386484,1.0196477,0.5099438,1.4725156,1.0511798,0.46637204
17,1.2272125,0.6324526,0.7732867,1.3816257,1.0061551,0.5230662,1.466076,1.0403774,0.47149658
18,1.2205031,0.6179902,0.7771828,1.3904412,1.0261198,0.5047155,1.468716,1.0462308,0.46773848
19,1.1977228,0.5943964,0.79002833,1.3834654,1.0131568,0.5120248,1.4677114,1.0459608,0.47212654
20,1.1644156,0.57021147,0.79507256,1.3901405,1.0298861,0.5052988,1.4783616,1.0578705,0.46273655
