epoch,rmse,mae,corr
1,1.3756117820739746,0.896792471408844,0.3565160036087036
2,1.0477312803268433,0.6246307492256165,0.6879600286483765
3,0.8878417611122131,0.49216553568840027,0.7884365320205688
4,0.775688648223877,0.41830816864967346,0.8416915535926819
5,0.7117296457290649,0.3614579141139984,0.8691588640213013
6,0.6387676000595093,0.327216774225235,0.8972080945968628
7,0.5649880766868591,0.28768494725227356,0.9200608730316162
8,0.5075985193252563,0.262053906917572,0.935283362865448
9,0.5345897078514099,0.25491416454315186,0.9279093742370605
10,0.5106204748153687,0.24463267624378204,0.9347909092903137
11,0.4265860319137573,0.22326341271400452,0.9547755122184753
12,0.4085341989994049,0.20616011321544647,0.9588241577148438
13,0.37857067584991455,0.19475367665290833,0.9646178483963013
14,0.32496222853660583,0.17996229231357574,0.9741452932357788
15,0.3188255727291107,0.17594368755817413,0.9749757647514343
16,0.2968672811985016,0.16512753069400787,0.9784952402114868
17,0.29713791608810425,0.1667466014623642,0.9782407283782959
18,0.27353063225746155,0.15529443323612213,0.9815787672996521
19,0.269402414560318,0.15475031733512878,0.982337474822998
20,0.24092987179756165,0.1446457952260971,0.9856711030006409
