epoch,rmse,mae,corr
1,3.030355930328369,2.0763630867004395,0.07318060845136642
2,1.716539978981018,1.2273005247116089,0.47592636942863464
3,1.6416842937469482,1.1493093967437744,0.5567612648010254
4,1.5698628425598145,1.0592470169067383,0.576103150844574
5,1.4433372020721436,0.9608745574951172,0.659500002861023
6,1.3041865825653076,0.8552924394607544,0.7359620928764343
7,1.1954140663146973,0.784299910068512,0.7794188261032104
8,1.0604571104049683,0.6935282945632935,0.8270987868309021
9,0.9989796876907349,0.6369384527206421,0.8478966951370239
10,0.9376704692840576,0.5974869132041931,0.8675484657287598
11,0.8549346923828125,0.5374391674995422,0.8941283226013184
12,0.8136667013168335,0.5067742466926575,0.9068170189857483
13,0.7369140386581421,0.4712538421154022,0.9203841090202332
14,0.7055692672729492,0.4424845576286316,0.9293569922447205
15,0.6277087330818176,0.4134141206741333,0.9434627294540405
16,0.5800399780273438,0.3784046173095703,0.9529941082000732
17,0.5836461782455444,0.3863268196582794,0.9512278437614441
18,0.5620034337043762,0.38556525111198425,0.9552562236785889
19,0.5287582874298096,0.35984349250793457,0.960918128490448
20,0.4739527702331543,0.3283858895301819,0.9676889777183533
