epoch,train_db_s1413_rmse,train_db_s1413_mae,train_db_s1413_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,2.09737,1.4932089,0.15754062,1.7975099,1.3130692,0.44184142,1.7937658,1.3392628,0.25513598
2,1.886006,1.317378,0.27576083,1.4421972,1.0754198,0.5691708,1.6802593,1.2746695,0.29682145
3,1.7507763,1.216847,0.41894102,1.4361566,1.0612062,0.60560834,1.5657902,1.1424747,0.38030308
4,1.647243,1.1250266,0.49896955,1.4389799,1.0689977,0.5855363,1.6360357,1.2022166,0.35277706
5,1.5906821,1.0815637,0.55679244,1.4506743,1.072858,0.55711585,1.6276202,1.1903001,0.3783871
6,1.5445808,1.0618727,0.5899676,1.4180492,1.0392134,0.5737715,1.6029272,1.1682465,0.4163297
7,1.5686748,1.0625554,0.5716126,1.4038156,1.0375196,0.56536096,1.6647601,1.2041348,0.3867977
8,1.4789323,1.0028261,0.619476,1.4690738,1.0758388,0.5680024,1.5381868,1.0979387,0.4188958
9,1.4335022,0.9851956,0.64821094,1.4171892,1.0350331,0.5649574,1.5764823,1.1219007,0.4250012
10,1.3739733,0.93700457,0.68422,1.4353973,1.0567092,0.5916253,1.541394,1.0793803,0.42408365
11,1.3756789,0.9184159,0.6920029,1.3998697,1.0310357,0.5676572,1.5976566,1.1208131,0.4131796
12,1.3702016,0.91214454,0.6985633,1.3732142,1.005314,0.6059822,1.5397623,1.0863367,0.4371426
13,1.3095964,0.8707738,0.7173844,1.4310555,1.0599519,0.55072004,1.5883069,1.120041,0.4067908
14,1.2717277,0.85189474,0.7414313,1.3987198,1.0368061,0.55658084,1.6213616,1.146894,0.4146131
15,1.2544543,0.8346983,0.7467414,1.3436784,0.9870336,0.61253685,1.5978179,1.1245437,0.41912776
16,1.2664695,0.83193624,0.7487377,1.3528923,0.9924174,0.59738255,1.6697578,1.174382,0.3964682
17,1.2388895,0.8086652,0.7570304,1.3826197,1.0133249,0.61916274,1.5421895,1.0806206,0.41201705
18,1.2516822,0.83263695,0.75222695,1.3565146,0.99515086,0.6214794,1.5340358,1.0759534,0.43346396
19,1.2174503,0.7847385,0.7694588,1.4337187,1.0609621,0.5692737,1.6030934,1.1482254,0.37325764
20,1.2140614,0.7930866,0.76491994,1.4051107,1.0327275,0.6217756,1.5231963,1.0760324,0.4323235
