epoch,train_db_s157479_rmse,train_db_s157479_mae,train_db_s157479_corr,val_db_s1082_rmse,val_db_s1082_mae,val_db_s1082_corr,test_db_ssym_rmse,test_db_s669_rmse,test_db_ssym_mae,test_db_s669_mae,test_db_ssym_corr,test_db_s669_corr
1,1.0031219,0.73734605,0.42346135,1.8285536,1.2449992,0.46795171,1.3954333,1.475743,1.0087767,1.0565835,0.55408275,0.47095212
2,0.8713054,0.6479149,0.5888838,1.8151318,1.2263811,0.47492552,1.3535105,1.4513245,0.97640985,1.0343931,0.60187894,0.50532216
3,0.8487603,0.62931705,0.6163708,1.8115991,1.2213881,0.4753559,1.3319389,1.4472916,0.95732397,1.0291421,0.62382716,0.5123458
4,0.8364269,0.61938775,0.63003063,1.8120148,1.2187356,0.47206748,1.3174403,1.4406055,0.9453179,1.0238584,0.63671696,0.51944345
5,0.82710177,0.6114385,0.6397678,1.8150506,1.2204102,0.4697396,1.3153658,1.4430664,0.9416981,1.0257293,0.6444223,0.52212363
6,0.8203333,0.6050415,0.6471104,1.8110199,1.2148237,0.47152817,1.303709,1.4383117,0.9306329,1.019863,0.65184325,0.5245296
7,0.81443036,0.60105485,0.6527992,1.8113267,1.2139534,0.469898,1.2982881,1.4408407,0.92609984,1.0217409,0.65722466,0.5219655
8,0.8097898,0.59618217,0.6577892,1.8080903,1.2105458,0.4714499,1.2928572,1.4378173,0.92298895,1.0189549,0.65963,0.52445245
9,0.8056172,0.5919803,0.6618321,1.8105456,1.2115695,0.47016537,1.2951163,1.4420216,0.92132306,1.0233709,0.660883,0.5237539
10,0.8023769,0.58997667,0.6651995,1.8100712,1.2112378,0.47071293,1.2907864,1.4409273,0.9183553,1.0230927,0.66509986,0.52437574
11,0.79808944,0.58636105,0.669329,1.8097525,1.2109907,0.47118965,1.2906325,1.4444315,0.9186556,1.0271221,0.666939,0.52391195
12,0.796861,0.5848476,0.67058265,1.8106991,1.2105079,0.47034252,1.2913414,1.4435345,0.9196191,1.0259699,0.6664982,0.5246954
13,0.7939723,0.58292735,0.6731719,1.8094851,1.2092208,0.47116575,1.2887213,1.4457852,0.9173872,1.0270272,0.66953444,0.5221194
14,0.79041344,0.5796959,0.6769079,1.8097756,1.2093271,0.4715018,1.2902459,1.4464545,0.91770035,1.0287118,0.6694599,0.52351665
15,0.78853583,0.5778895,0.6786703,1.80624,1.2054319,0.47315112,1.28663,1.4427878,0.91623616,1.0237848,0.6676602,0.52254844
16,0.78653884,0.57577103,0.68047315,1.8072991,1.2061224,0.47189745,1.285287,1.444059,0.9150644,1.0253177,0.67015743,0.5226744
17,0.7846968,0.57448876,0.68221813,1.8062468,1.2050356,0.472176,1.2837738,1.4432793,0.91386384,1.0246212,0.67014736,0.5231687
18,0.7846121,0.57386863,0.6823958,1.8036876,1.2024062,0.47332227,1.280213,1.4411783,0.91142625,1.0211693,0.6700996,0.5214247
19,0.7810409,0.57142025,0.6857042,1.8042271,1.2036439,0.4732595,1.2815019,1.4430809,0.9123361,1.023774,0.67011786,0.52151287
20,0.7801276,0.5702781,0.6864986,1.806229,1.2051051,0.47302267,1.2875422,1.4454463,0.9158626,1.0269742,0.67081803,0.52424574
